,precision,recall,f1-score,support
0,0.16,0.8,0.27,44.0
2,0.87,0.95,0.91,1188.0
3,1.0,0.29,0.44,7.0
4,0.79,0.22,0.35,85.0
6,0.91,0.54,0.68,263.0
7,0.0,0.0,0.0,1.0
8,1.0,0.36,0.53,50.0
9,0.73,0.27,0.39,41.0
10,1.0,0.44,0.61,59.0
11,0.56,0.21,0.3,24.0
12,1.0,1.0,1.0,1.0
accuracy,0.79,0.79,0.79,0.79
macro avg,0.73,0.46,0.5,1763.0
weighted avg,0.86,0.79,0.79,1763.0
