,pre0,pre2,pre3,pre4,pre6,pre7,pre8,pre9,pre10,pre11,pre12
tru0,35,8,0,1,0,0,0,0,0,0,0
tru2,48,1125,0,2,12,0,0,1,0,0,0
tru3,3,2,2,0,0,0,0,0,0,0,0
tru4,26,34,0,19,2,0,0,2,0,2,0
tru6,42,77,0,1,143,0,0,0,0,0,0
tru7,0,1,0,0,0,0,0,0,0,0,0
tru8,10,21,0,1,0,0,18,0,0,0,0
tru9,14,14,0,0,0,0,0,11,0,2,0
tru10,30,3,0,0,0,0,0,0,26,0,0
tru11,11,7,0,0,0,0,0,1,0,5,0
tru12,0,0,0,0,0,0,0,0,0,0,1
