,precision,recall,f1-score,support
0,0.89,0.99,0.94,2003.0
2,0.84,0.95,0.89,1187.0
3,0.0,0.0,0.0,7.0
4,0.56,0.06,0.11,85.0
6,0.96,0.38,0.54,263.0
7,0.0,0.0,0.0,2.0
8,1.0,0.12,0.21,50.0
9,0.67,0.05,0.09,41.0
10,1.0,0.29,0.45,59.0
11,0.0,0.0,0.0,24.0
12,0.0,0.0,0.0,1.0
accuracy,0.87,0.87,0.87,0.87
macro avg,0.54,0.26,0.29,3722.0
weighted avg,0.86,0.87,0.84,3722.0
