,pre0,pre2,pre3,pre4,pre6,pre7,pre8,pre9,pre10,pre11,pre12
tru0,1985,17,0,1,0,0,0,0,0,0,0
tru2,50,1131,0,2,4,0,0,0,0,0,0
tru3,3,4,0,0,0,0,0,0,0,0,0
tru4,36,44,0,5,0,0,0,0,0,0,0
tru6,63,99,0,1,100,0,0,0,0,0,0
tru7,1,1,0,0,0,0,0,0,0,0,0
tru8,22,22,0,0,0,0,6,0,0,0,0
tru9,23,16,0,0,0,0,0,2,0,0,0
tru10,39,3,0,0,0,0,0,0,17,0,0
tru11,18,5,0,0,0,0,0,1,0,0,0
tru12,0,1,0,0,0,0,0,0,0,0,0
